type,题号,question_zh,A,B,C,D,answer,question_en,A_EN,B_EN,C_EN,D_EN,answer,标准答案（中文）,参考译文（EN）
单选题,S1,EE-W控制器的主要控制对象是？,风冷机组,水冷一次泵系统,冷却塔组,末端风机盘管,B,What is the main control target of the EE-W controller?,Air-cooled units,Primary chilled water pump system,Cooling tower group,Terminal fan coil units,B,,
单选题,S2,EE-W10最多可控制多少台水泵？,3台,5台,6台,8台,C,How many pumps can EE-W10 control at most?,3 units,5 units,6 units,8 units,C,,
单选题,S3,冷冻机启停控制的主要依据是？,机房负荷需求,设定温度值,电流参数,冷却水流量,A,What is the main basis for starting and stopping the chiller?,Plant load demand,Set temperature value,Current parameters,Cooling water flow rate,A,,
单选题,S4,EE-W 系列产品的主要用途是什么？,控制风冷式冷冻机房,实现水冷式一次变流量冷冻机房的自动控制,仅控制水泵运行,调节冷却塔的水温,B,What is the main application of the EE-W product series?,Control air-cooled chiller plants,Achieve automatic control of primary variable flow chilled water plants,Only control pump operation,Adjust cooling tower water temperature,B,,
单选题,S5,等大水泵最多可控制多少台（含备用泵）？,3 台,4 台,5 台,6 台,D,What is the maximum number of equal pumps controllable (including backup)?,3 units,4 units,5 units,6 units,D,,
单选题,S6,不能根据以下哪种信息计算工作冷冻机的最佳台数？,机房负荷,冷冻水温度设定值的差异,冷却塔的高度,冷冻机电气负荷,C,Which of the following cannot be used to calculate the optimal number of chillers?,Plant load,Difference in chilled water setpoint,Cooling tower height,Chiller electrical load,C,,
单选题,S7,与隔离阀接口相关的操作不包括以下哪项？,利用数字输出打开和关闭阀门,利用数字输入获得阀门启/闭状态反馈,自动调节隔离阀的流量大小,根据控制逻辑控制隔离阀的动作,C,Which of the following is NOT related to isolation valve interface?,Use digital output to open/close valve,Use digital input to get feedback,Automatically adjust valve flow rate,Control logic to operate valve,C,,
单选题,S8,泵的启/闭控制依据是什么？,随机启动,根据效率点组合,时间顺序启动,固定配比启动,B,What is the basis for pump start/stop in DE pump mode?,Random start,Efficiency-based combination,Start in sequence,Fixed ratio per chiller,B,,
单选题,S9,调节旁通阀的主要目的是？,维持最高流量,维持最低流量,流量恒定,温度调节流量,B,What is the main purpose of bypass valve adjustment?,Maintain max flow,Maintain minimum flow,Keep flow constant,Adjust flow by temperature,B,,
单选题,S10,不包括以下哪项控制逻辑？,基于需求控制冷冻机数量,仅时间控制水泵转速,持续监控区域信号,调节旁通阀维持流量,B,Which is NOT included in control logic?,Chiller count by demand,Pump speed by time only,Area signal monitoring,Bypass valve adjustment,B,,
单选题,S11,控制冷冻机顺序时，以下哪个不是考虑因素？,机房负荷,冷冻机高流量状态,户外温度传感器数据,冷冻机的颜色,D,Which is NOT a factor in chiller sequencing?,Plant load,High flow status,Outdoor temp sensor,Chiller color,D,,
单选题,S12,依据什么信号决定泵速？,仅区域温度,仅区域差压,差压或温度信号,总压力传感器,C,What determines pump speed?,Zone temperature only,Zone differential pressure only,Either temperature or pressure,Total pressure sensor,C,,
单选题,S13,适用于以下哪种系统？,仅舒适制冷,仅工艺制冷,舒适或工艺制冷,制热系统,C,What systems is EE-W applicable for?,Comfort cooling only,Process cooling only,Comfort or process cooling,Heating system,C,,
单选题,S14,大小主机的运行规则？,随意开启,不能同时开,小主机优先,大主机优先,B,What is the rule for large/small chillers?,Start freely,Cannot start together,Small chiller first,Large chiller first,B,,
单选题,S15,冷却水泵如何分组？,功率大小,颜色,与冷机组关联,随机分组,C,How to group same cooling water pumps?,By power,By color,By chiller connection,Randomly,C,,
单选题,S16,设备超过5台如何处理？,无法控制,增加控制器,采用非标 NCP,减少设备,B,What if equipment exceeds 5 units?,Not controllable,Add controller,Use non-standard NCP,Reduce equipment,B,,
单选题,S17,冷冻机流量维持方式？,调泵启停,调泵转速,两者都调,手动调阀,C,How to maintain chiller flow?,Pump start/stop,Pump speed,Both,Manual valve,C,,
单选题,S18,非 DE 泵启/闭模式？,效率点组合,一台冷机配一台泵,全部启动,随机启动,B,What is non-DE pump mode?,Efficiency combination,One chiller per pump,Start all,Random start,B,,
单选题,S19,如何实现通信控制？,无法通信,协议映射,特定品牌协议,手动参数设置,B,How to achieve chiller communication?,Cannot communicate,Protocol mapping,Brand-specific only,Manual settings,B,,
单选题,S20,节能优势主要体现？,新制冷技术,优化控制逻辑,减少设备,增加功率,B,Where is the energy saving benefit?,New refrigeration tech,Optimized logic,Fewer devices,Increased power,B,,
单选题,S21,安装阶段不包括哪项？,低风险安装,避免延迟,增加成本,减少安装时间,C,Which is NOT an installation advantage?,Low-risk install,Avoid delay,Increase cost,Reduce time,C,,
单选题,S22,运营风险降低多少？,10% - 20%,20% - 40%,40% - 60%,60% - 80%,D,How much risk reduction in operation?,10% - 20%,20% - 40%,40% - 60%,60% - 80%,D,,
单选题,S23,最多减少多少用水量？,8%,10%,12%,15%,D,Max water saving?,8%,10%,12%,15%,D,,
单选题,S24,回报期通常多久？,不到 1 年,1 - 2 年,2 - 3 年,3 - 5 年,B,Typical ROI period?,Less than 1 year,1 - 2 years,2 - 3 years,3 - 5 years,B,,
单选题,S25,如何确保运行符合设计意图？,人工检查,优化逻辑+远程支持,增加监测点,更换部件,B,How to ensure design intent operation?,Manual check,Logic + remote support,More monitors,Replace parts,B,,
多选题,M1,EE-W 系列产品的应用场合包括（多选）,舒适制冷系统,工艺制冷系统,风冷式冷冻机房,水冷式一次变流量冷冻机房,"A,B,D",Application scenarios of EE-W series products include (Multiple choice),Comfort cooling systems,Process cooling systems,Air-cooled chiller plants,Water-cooled primary variable flow chiller plants,"A,B,D",,
